description,category
UPI-TNEB-OKHDFC-XXXX1230,Utilities
EMI BILL PAYMENT BBPS,EMI / Loans
NAMMA YATRI AUTO FARE,Transport
IMPS/P2A/7998136462/BPCL,Transport
REFUND AMAZON ORDER CANCELLED,Income
MORE SUPERMARKET BILL,Groceries
POS 9444 SBI,Insurance
DR LAL PATHLABS TEST,Health
JIOMART GROCERY ORDER,Groceries
GO DIGIT INSURANCE PREMIUM,Insurance
GAANA PLUS SUBSCRIPTION,Subscriptions
INOX BILL PAYMENT BBPS,Entertainment
D2H SUBSCRIPTION RECHARGE,Utilities
CARD PURCHASE SIP XXXX1027,Investments
HOMELOAN EMI SBI,EMI / Loans
POS 5111 UPI-OLA,Transport
TATASKY DTH RECHARGE,Utilities
CARD PURCHASE PERSONAL XXXX7379,EMI / Loans
CASHBACK CRED CARD OFFER,Income
NEFT-VISTARA-57666567,Travel
NEFT-UPI-SPOTIFY-58199560,Subscriptions
PAYSENSE EMI PAYMENT,EMI / Loans
BPCL PETROL PUMP PAYMENT,Transport
RTGS TRANSFER TO OWN ACCOUNT,Transfers
NYKAA BEAUTY ORDER,Shopping
CLEARTRIP FLIGHT BOOKING,Travel
NESTAWAY ONLINE ORDER 498084,Rent
UPI-IRCTC-APL-XXXX4631,Transport
IMPS/P2A/7484677378/NBFC,EMI / Loans
BYJU CLASSES FEE,Education
DIVIDEND CREDIT RELIANCE IND,Income
IMPS/P2A/3471434558/HOMELOAN,EMI / Loans
EATFIT ORDER PAYMENT,Food & Dining
NEFT-RESTAURANT-67741862,Food & Dining
NEFT-JIO-45381792,Utilities
NEFT-FRESHMENU-29221699,Food & Dining
IMPS FUND TRF TO FAMILY,Transfers
ZEE5 PREMIUM SUBSCRIPTION,Subscriptions
NEFT-ETMONEY-05685662,Investments
ATM CASH WITHDRAWAL SBIN0001234,Others
UPI-DECATHLON-IBL-XXXX9232,Shopping
CULTFIT BILL PAYMENT BBPS,Subscriptions
IMPS/P2A/0516271361/ADOBE,Subscriptions
IMPS/P2A/9988776655/TRANSFER,Transfers
AIRBNB STAY PAYMENT,Travel
UPI/MILKBASKET/8947697357/Payment,Groceries
DENTAL ONLINE ORDER 881476,Health
MF PURCHASE ICICI PRUDENTIAL,Investments
MYNTRA DESIGNS ORDER,Shopping
POS 7499 NETFLIX,Subscriptions
POS 7937 ACKO,Insurance
JIO FIBER BILL PAYMENT,Utilities
REFUND AMAZON ORDER CANCELLED,Income
CROMA BILL PAYMENT BBPS,Shopping
STIPEND CREDIT NPTEL,Income
CARD PURCHASE BAJAJ XXXX1904,EMI / Loans
GROCERY BILL PAYMENT BBPS,Groceries
STEAM GAME PURCHASE,Entertainment
STARBUCKS COFFEE PURCHASE,Food & Dining
UPI/NESTAWAY/3534624751/Payment,Rent
PRACTO DOCTOR CONSULTATION,Health
BOX8 ONLINE ORDER 331637,Food & Dining
CARD PURCHASE BOOKMYSHOW XXXX6056,Entertainment
BHARATGAS BILL PAYMENT BBPS,Utilities
BAJAJ FINSERV EMI PAYMENT,EMI / Loans
POS 2480 BEHROUZ,Food & Dining
UPI/TNEB/9407778097/Payment,Utilities
VODAFONE IDEA RECHARGE,Utilities
LICIOUS MEAT ORDER,Groceries
CARD PURCHASE PHYSICSWALLAH XXXX1155,Education
IMPS/P2A/7206345911/HOSPITAL,Health
PG FEES MONTHLY PAYMENT,Rent
MICROSOFT 365 SUBSCRIPTION,Subscriptions
MCDONALD ORDER PAYMENT,Food & Dining
NEFT SALARY HCL TECHNOLOGIES,Income
UPI/RENTAL/8018451462/Payment,Rent
UPI-RENT-OKICICI-XXXX9655,Rent
CARD PURCHASE BITS XXXX1589,Education
NEFT-FLIPKART-72200543,Shopping
UPI/PPF/0826773454/Payment,Investments
UPI/JIOMART/3662103886/Payment,Groceries
UPI/NOBROKER/6474687234/Payment,Rent
POS 5816 SCHOOL,Education
UPI/SMALLCASE/0932048996/Payment,Investments
IMPS/P2A/8001061817/BBPS,Utilities
POS 8300 IKEA,Shopping
POS 2654 EATFIT,Food & Dining
NEFT-PRACTO-51623198,Health
MUTUAL FUND SIP HDFC AMC,Investments
CARD PURCHASE UPI-AMAZON-OKAXIS XXXX1142,Shopping
CARD PURCHASE TATA XXXX5205,Insurance
IMPS/P2A/5433036541/MAGICBRICKS,Rent
FASTAG RECHARGE NETC,Transport
POS 1027 RENT,Rent
IMPS/P2A/1143519066/MORE,Groceries
TUITION FEE PAYMENT,Education
ACT FIBERNET BROADBAND BILL,Utilities
KUVERA MF SIP PAYMENT,Investments
IMPS/P2A/0541566765/SBI,Insurance
POS 2654 STARBUCKS,Food & Dining
UPI-PRIYA VERMA-OKICICI SENT TO,Transfers
INDIAN OIL FUEL PURCHASE,Transport
UPI-APPLE.COM-OKICICI-XXXX3395,Subscriptions
CARD PURCHASE BLINKIT XXXX9305,Groceries
SPICEJET FLIGHT TICKET,Travel
IMPS/P2A/0170462265/ELSS,Investments
BOOKMYSHOW EVENT TICKET,Entertainment
UPI TRF TO FRIEND IMPS,Transfers
CAFE COFFEE DAY BILL,Food & Dining
IMPS/P2A/0555438404/CMRL,Transport
UPI/GREATLEARNING/2097002687/Payment,Education
CARD PURCHASE YULU XXXX7181,Transport
PENALTY CHARGES AMB,Others
UPI-POS-DMART-PAYTM-XXXX6766,Groceries
WESTSIDE CLOTHING PURCHASE,Shopping
IMPS/P2A/7014363495/MONEYTAP,EMI / Loans
APPLE.COM BILL ICLOUD,Subscriptions
MISC ADJUSTMENT ENTRY,Others
IMPS/P2A/8275480157/SHOPPERS,Shopping
CARD PURCHASE BOOKMYSHOW XXXX2259,Entertainment
ZERODHA FUND ADD,Investments
CMRL METRO CARD TOPUP,Transport
VEDANTU ONLINE ORDER 639855,Education
POS 3465 NETMEDS,Health
NBFC LOAN INSTALLMENT,EMI / Loans
BESCOM ONLINE ORDER 901981,Utilities
SALARY CREDIT WIPRO LTD,Income
CARD PURCHASE NYKAA XXXX3711,Shopping
ANGEL ONE DEMAT DEBIT,Investments
INOX ONLINE ORDER 990767,Entertainment
CARD PURCHASE IOCL XXXX9409,Transport
OYO ONLINE ORDER 914363,Travel
IMPS FAILED CHARGE REVERSAL FEE,Others
INCOME TAX REFUND AY2025-26,Income
CARD REPLACEMENT FEE,Others
CARD PURCHASE UPI-OLA XXXX9399,Transport
MSEB ONLINE ORDER 144885,Utilities
CARD PURCHASE SNAPDEAL XXXX6110,Shopping
UPI/INDIAN/3769389833/Payment,Transport
POS-DMART BILL PAYMENT BBPS,Groceries
INTEREST CREDIT SAVINGS AC,Income
UPI/FRESHMENU/8270808697/Payment,Food & Dining
ADANI ONLINE ORDER 568299,Utilities
AJIO FASHION ORDER,Shopping
CARD PURCHASE MEDPLUS XXXX0561,Health
DOCTOR ONLINE ORDER 597794,Health
INT.PD QTR,Income
AMAZON PAY INDIA ORDER,Shopping
UPI/AKASA/4622522372/Payment,Travel
TDS REFUND ITR PROCESSED,Income
IMPS/P2A/9994043898/CANVA,Subscriptions
POS 3248 MICROSOFT,Subscriptions
THYROCARE TEST BOOKING,Health
APPLE.COM BILL PAYMENT BBPS,Subscriptions
VODAFONE BILL PAYMENT BBPS,Utilities
IMPS/P2A/8039551240/ADANI,Utilities
CASHE LOAN REPAYMENT,EMI / Loans
TATACLIQ ONLINE ORDER 952028,Shopping
STIPEND CREDIT INTERNSHIP,Income
COLLEGE ONLINE ORDER 728813,Education
NEFT-NATURES-65803928,Groceries
PAYTM SENT TO CONTACT,Transfers
NEFT-ACHDR-64743671,EMI / Loans
UPI/COUNTRY/7739260302/Payment,Groceries
FAASOS ONLINE ORDER 307053,Food & Dining
STARBUCKS BILL PAYMENT BBPS,Food & Dining
RELIANCE DIGITAL BILL,Shopping
UPI-SWIGGY BILL PAYMENT BBPS,Groceries
GPAY TRF TO FRIEND,Transfers
CARD PURCHASE DOMINOS XXXX4220,Food & Dining
LOCAL KIRANA STORE PAYMENT,Groceries
HOMELOAN ONLINE ORDER 122362,EMI / Loans
CULTFIT MEMBERSHIP RENEWAL,Subscriptions
NETMEDS PHARMACY ORDER,Health
UPI-WESTSIDE-PAYTM-XXXX3175,Shopping
ACCOUNT MAINTENANCE CHARGES,Others
UNACADEMY BILL PAYMENT BBPS,Education
GOLDSGYM MONTHLY MEMBERSHIP,Subscriptions
CARD PURCHASE ELSS XXXX2512,Investments
DOCTOR CONSULTATION FEE UPI,Health
POS 6536 KFC,Food & Dining
NEFT-CLINIC-17342069,Health
NEFT-ACT-68327238,Utilities
INCOME TAX REFUND AY2025-26,Income
LENDINGKART EMI DEDUCTION,EMI / Loans
NEFT-OYO-52571509,Travel
UPI/HOSPITAL/7765612481/Payment,Health
POS 9837 MEDPLUS,Health
DOMINOS BILL PAYMENT BBPS,Food & Dining
UPI-DR-OKBIZAXIS-XXXX6465,Health
NAMMA ONLINE ORDER 829979,Transport
POS 8794 PLAYSTATION,Entertainment
INOX MOVIE TICKET,Entertainment
REIMBURSEMENT TRAVEL EXPENSE,Income
POS 8344 INDIGO,Travel
UPI/MORE/1372138658/Payment,Groceries
PAYTM BILL PAYMENT BBPS,Investments
UPI-KREDITBEE-OKICICI-XXXX6719,EMI / Loans
KUVERA ONLINE ORDER 516940,Investments
SAL CR TCS LTD,Income
HOSTEL FEE PAYMENT,Rent
NEFT-SPENCERS-45257775,Groceries
NEFT-BOOKMYSHOW-77805292,Entertainment
POS 4471 BMRCL,Transport
CARD PURCHASE YOUTUBE XXXX0723,Subscriptions
CARD PURCHASE XBOX XXXX0782,Entertainment
POS 6139 INDMONEY,Investments
POS 4076 IRCTC,Transport
CANVA PRO SUBSCRIPTION,Subscriptions
GOOGLE ONE STORAGE PLAN,Subscriptions
CARD PURCHASE SCHOOL XXXX5679,Education
CARD PURCHASE FAASOS XXXX4578,Food & Dining
BLINKIT BILL PAYMENT BBPS,Groceries
ACHDR HOME LOAN EMI,EMI / Loans
ETMONEY SIP DEDUCTION,Investments
UPI/HOTEL/5057397691/Payment,Travel
INDIGO AIRLINES TICKET,Travel
STAR HEALTH PREMIUM RENEWAL,Insurance
CLEARTRIP ONLINE ORDER 647090,Travel
UPI-ADOBE-YBL-XXXX1541,Subscriptions
GREATLEARNING PROGRAM FEE,Education
SCHOOL FEE PAYMENT UPI,Education
IMPS/P2A/1478539078/GAMING,Entertainment
DOMINOS PIZZA UPI,Food & Dining
AIRTEL POSTPAID RECHARGE BBPS,Utilities
UPI/UPSTOX/5556258815/Payment,Investments
PHYSICSWALLAH COURSE FEE,Education
RD ONLINE ORDER 904530,Investments
NEFT A/C TRANSFER SELF,Transfers
BOUNCE SCOOTER RIDE,Transport
IMPS/P2A/6661889241/CHATGPT,Subscriptions
BBPS ELECTRICITY BILL PAYMENT,Utilities
PF WITHDRAWAL EPFO CLAIM,Income
MEESHO ONLINE ORDER 319508,Shopping
GOIBIBO HOTEL BOOKING,Travel
ECS RETURN CHARGES,Others
IMPS/P2A/0672400499/PPF,Investments
NEFT-BHARATGAS-63723950,Utilities
PHYSICSWALLAH BILL PAYMENT BBPS,Education
NEFT TRANSFER TO SAVINGS AC,Transfers
POS 5093 AMAZON,Subscriptions
TATACLIQ ORDER PAYMENT,Shopping
BANK CHARGES GST DEBIT,Others
BONUS PAYOUT Q4,Income
REDBUS TICKET BOOKING,Transport
CARD PURCHASE LIFESTYLE XXXX8334,Shopping
UPI-OLA CABS-OKSBI,Transport
UPI-ZOMATO-OKICICI,Food & Dining
SHOPPERS STOP PURCHASE,Shopping
SAL CR TCS LTD,Income
UPI-EARLYSALARY-OKSBI-XXXX4471,EMI / Loans
STIPEND CREDIT NPTEL,Income
SMALLCASE PORTFOLIO DEBIT,Investments
UPI/AIRBNB/0397524508/Payment,Travel
UPI-UBER INDIA-OKHDFC,Transport
FOREX MARKUP FEE,Others
VIJAY ONLINE ORDER 301871,Shopping
CARD PURCHASE ZEE5 XXXX6324,Subscriptions
RENT TO OWNER IMPS,Rent
UPI-CULTFIT-OKHDFC-XXXX4191,Subscriptions
UPI-VI-APL-XXXX1724,Utilities
IOCL FUEL STATION,Transport
CHATGPT PLUS SUBSCRIPTION,Subscriptions
UPI-KFC-OKICICI-XXXX0405,Food & Dining
POS 4565 VI,Utilities
POS 1711 RENT,Rent
DEMAND DRAFT ISSUANCE FEE,Others
FAASOS ORDER UPI,Food & Dining
DIAGNOSTIC LAB TEST PAYMENT,Health
UPI/RELIANCE/4729284222/Payment,Shopping
DIAGNOSTIC BILL PAYMENT BBPS,Health
PARKING BILL PAYMENT BBPS,Transport
VISTARA BILL PAYMENT BBPS,Travel
AIRTEL BILL PAYMENT BBPS,Utilities
UPI/HOUSE/8350305641/Payment,Rent
UPI/NYKAA/8183253817/Payment,Shopping
CARD PURCHASE CMRL XXXX5621,Transport
SMS ALERT CHARGES GST,Others
IMPS/P2A/5931034131/RENT,Rent
UPI-BOX8-APL-XXXX3755,Food & Dining
NAYARA ENERGY PETROL,Transport
LOAN EMI ICICI BANK,EMI / Loans
CARD PURCHASE GOLDSGYM XXXX2490,Subscriptions
UPI-SPOTIFY INDIA,Subscriptions
NIVA BUPA HEALTH PREMIUM,Insurance
ACKO ONLINE ORDER 805929,Insurance
MICROSOFT BILL PAYMENT BBPS,Subscriptions
CARD PURCHASE GOOGLE XXXX7451,Subscriptions
NEFT-INDMONEY-62636897,Investments
EASEMYTRIP ONLINE ORDER 650637,Travel
KREDITBEE EMI AUTODEBIT,EMI / Loans
YOUTUBE PREMIUM MEMBERSHIP,Subscriptions
BESCOM POWER BILL PAYMENT,Utilities
UPI TRANSFER TO FRIEND IMPS,Transfers
UPI-UBER BILL PAYMENT BBPS,Transport
CARD PURCHASE DECATHLON XXXX4715,Shopping
1MG MEDICINE ORDER,Health
UPI-BMRCL-OKAXIS-XXXX3924,Transport
PF WITHDRAWAL EPFO CLAIM,Income
NEFT-STAR-16052975,Insurance
NEFT-YATRA-51185672,Travel
IMPS/P2A/6509480141/NAYARA,Transport
POS 2162 VODAFONE,Utilities
NEFT-RENTPAY-00524278,Rent
PAYTM SENT TO CONTACT,Transfers
UPI-CAR-IBL-XXXX6036,EMI / Loans
TATA POWER BILL,Utilities
NEFT-HOTEL-67164932,Travel
NEFT A/C TRF SELF,Transfers
SALARY INFOSYS BPM,Income
MAX LIFE INSURANCE PREMIUM,Insurance
WATER BILL PAYMENT ONLINE,Utilities
UPI-EASEMYTRIP-OKSBI-XXXX1060,Travel
POS 7516 ZEE5,Subscriptions
CARD PURCHASE PAYTM XXXX8771,Investments
UPI-HALDIRAM-OKSBI-XXXX8758,Food & Dining
IMPS/P2A/4228499390/METROPOLIS,Health
UPI-DMRC-OKBIZAXIS-XXXX3639,Transport
NEFT-STAR-94312908,Groceries
CARD PURCHASE UPI-UBER XXXX1438,Transport
UPI-THYROCARE-OKICICI-XXXX6591,Health
SERVICE CHARGE QUARTERLY,Others
NEFT-GREATLEARNING-81180715,Education
POS 6397 THYROCARE,Health
LIC ANNUAL PREMIUM ECS,Insurance
MONEYTAP EMI DEDUCTION,EMI / Loans
REIMBURSEMENT TRAVEL EXPENSE,Income
IMPS/P2A/5665939836/HPCL,Transport
NEFT-UNIVERSITY-85641118,Education
CARD PURCHASE PARKING XXXX5736,Transport
POS 5412 BYJU,Education
ACKO INSURANCE PREMIUM,Insurance
IMPS/P2A/9702462996/EATFIT,Food & Dining
IMPS/P2A/2869904137/COUNTRY,Groceries
NEFT-KUVERA-59526949,Investments
UPI-SWIGGY-OKAXIS,Food & Dining
RENTAL PAYMENT 2BHK FLAT,Rent
UDEMY COURSE PURCHASE,Education
NEFT-WOW-17154544,Food & Dining
MPL ONLINE ORDER 685787,Entertainment
CLINIC CONSULTATION FEE,Health
IMPS/P2A/2365199410/AMAZON,Subscriptions
SNAPDEAL ORDER,Shopping
PARKING FEE PAYMENT UPI,Transport
PVR CINEMAS TICKET BOOKING,Entertainment
UPI-UPGRAD-OKBIZAXIS-XXXX5760,Education
UPI-HPCL-OKHDFC-XXXX8861,Transport
IMPS/P2A/3695944064/ACHDR,EMI / Loans
UPI/FD/9332727956/Payment,Investments
DREAM11 CONTEST ENTRY,Entertainment
CARD PURCHASE SHOPPERS XXXX7386,Shopping
NEFT-GOIBIBO-43027169,Travel
CARD PURCHASE EMI XXXX1754,EMI / Loans
HPCL FUEL PETROL,Transport
UPI-EMI-YBL-XXXX3699,EMI / Loans
CHEQUE BOOK CHARGES,Others
NEFT-REDBUS-37183764,Transport
NEFT-SIP-99590010,Investments
WESTSIDE BILL PAYMENT BBPS,Shopping
HOUSE RENT PAYMENT MAY,Rent
CARD PURCHASE GOIBIBO XXXX2632,Travel
SIP GROWW MUTUAL FUND,Investments
SALARY CREDIT WIPRO LTD,Income
CARD PURCHASE SMALLCASE XXXX0100,Investments
CULT.FIT ONLINE ORDER 606441,Health
UPI-SPENCERS-YAPL-XXXX9492,Groceries
UPI/HOSTEL/7631165667/Payment,Rent
POS 5026 UPI-SWIGGY-OKAXIS,Food & Dining
IMPS/P2A/6690551076/SPICEJET,Travel
BAJAJ ALLIANZ POLICY PREMIUM,Insurance
SAL CR ACCENTURE SOLUTIONS,Income
MAKEMYTRIP BILL PAYMENT BBPS,Travel
POS 5903 BESCOM,Utilities
DIVIDEND CREDIT RELIANCE IND,Income
UPI-AKASA-OKICICI-XXXX1686,Travel
PRIME VIDEO MEMBERSHIP RENEWAL,Subscriptions
PHARMEASY ORDER PAYMENT,Health
IMPS/P2A/2029702135/RELIANCE,Insurance
CAR LOAN EMI HDFC BANK,EMI / Loans
CARD PURCHASE MSEB XXXX0155,Utilities
UPI-COLLEGE-YAPL-XXXX7126,Education
UPI-HATHWAY-APL-XXXX6876,Utilities
DENTAL CLINIC PAYMENT,Health
UPI-ANITA KUMAR-OKSBI-XXXX7890,Transfers
BMRCL METRO RECHARGE,Transport
CARD PURCHASE BYJU XXXX3258,Education
BLINKIT GROCERY ORDER,Groceries
CAFE BILL PAYMENT,Food & Dining
CARD PURCHASE RD XXXX1742,Investments
POS 2930 RELIANCE,Groceries
CARD PURCHASE UNACADEMY XXXX3524,Education
BIGBASKET ONLINE GROCERY,Groceries
IMPS/P2A/3325411076/PVR,Entertainment
BOX8 MEAL ORDER,Food & Dining
CARD PURCHASE STAR XXXX8188,Insurance
GROCERY STORE UPI PAYMENT,Groceries
IMPS/P2A/7971775170/BURGER,Food & Dining
NEFT SALARY HCL TECHNOLOGIES,Income
SIMPLILEARN BILL PAYMENT BBPS,Education
NEFT-UPI-ZOMATO-OKICICI-03965223,Food & Dining
POS 3793 BOOKMYSHOW,Entertainment
CROMA ELECTRONICS PURCHASE,Shopping
UPI-NETFLIX-APL-XXXX5621,Subscriptions
BITS PILANI SEMESTER FEE,Education
BHIM UPI TRANSFER P2P,Transfers
RENT TRANSFER LANDLORD NEFT,Rent
POS 1478 GAANA,Subscriptions
PAYTM MONEY STOCK PURCHASE,Investments
NEFT-BAJAJ-31003309,EMI / Loans
VI POSTPAID BILL,Utilities
UPI/BIGBASKET/2885158799/Payment,Groceries
ELSS FUND PURCHASE,Investments
NEFT-MAX-56149784,Insurance
UPI-RAHUL SHARMA-OKAXIS-XXXX4521,Transfers
METROPOLIS LAB TEST PAYMENT,Health
SAL CR ACCENTURE SOLUTIONS,Income
NETFLIX SUBSCRIPTION,Subscriptions
HOTEL BOOKING PAYMENT ONLINE,Travel
AIR BILL PAYMENT BBPS,Travel
MEDPLUS PHARMACY BILL,Health
NIVA ONLINE ORDER 515186,Insurance
POS 6556 UPGRAD,Education
POS 5890 WOW,Food & Dining
UPI-D2H-YBL-XXXX3280,Utilities
KFC FOOD ORDER,Food & Dining
UPI/THIRD/9725217525/Payment,Food & Dining
UPI-MAGICBRICKS-OKICICI-XXXX5869,Rent
PAYSENSE BILL PAYMENT BBPS,EMI / Loans
DMRC SMART CARD RECHARGE,Transport
TNEB ELECTRICITY BILL,Utilities
TATA AIG POLICY RENEWAL,Insurance
EMI HDB FINANCIAL CARLOAN,EMI / Loans
CULT.FIT BILL PAYMENT BBPS,Health
REVERSAL FAILED UPI TXN,Income
UPI/DOCTOR/9081081866/Payment,Health
IMPS/P2A/2002496854/STEAM,Entertainment
UPI-INDIAN-PAYTM-XXXX2278,Transport
ZEPTO QUICK DELIVERY,Groceries
RENTAL ONLINE ORDER 701543,Rent
NATURES ONLINE ORDER 373145,Groceries
NEFT-LENDINGKART-53396360,EMI / Loans
ANYTIME FITNESS GYM MEMBERSHIP,Subscriptions
UPI-UPI-ZOMATO-OKICICI-OKBIZAXIS-XXXX3040,Food & Dining
UPI/CHAI/8942104478/Payment,Food & Dining
INDMONEY INVESTMENT DEBIT,Investments
MEESHO ORDER PAYMENT,Shopping
UPI/CLEARTRIP/2742209124/Payment,Travel
AMAZON MUSIC UNLIMITED,Subscriptions
UPI/RELIANCE/4479627570/Payment,Insurance
UPI/LICIOUS/1844989266/Payment,Groceries
UPI-AJIO-OKBIZAXIS-XXXX2929,Shopping
UPI-NIVA-OKBIZAXIS-XXXX8079,Insurance
UPI/DR/2809242875/Payment,Health
WOW MOMO ORDER PAYMENT,Food & Dining
NEFT-HOUSE-95376724,Rent
NEFT-THIRD-07432927,Food & Dining
CHATGPT ONLINE ORDER 418328,Subscriptions
SALARY CREDIT ACME TECH PVT LTD,Income
AKASA AIR BOOKING,Travel
POS 5333 ANGEL,Investments
MILKBASKET DAILY DELIVERY,Groceries
NETMEDS BILL PAYMENT BBPS,Health
IMPS/P2A/5150939834/VIJAY,Shopping
APOLLO BILL PAYMENT BBPS,Health
POS 9289 PERSONAL,EMI / Loans
YATRA TRAIN TICKET,Travel
UPI/ANYTIME/9375973832/Payment,Subscriptions
RTGS TRF TO OWN ACCOUNT,Transfers
SIP ZERODHA COIN MUTUAL FUND,Investments
NEFT-ZERODHA-86008484,Investments
UPI-ICICI-IBL-XXXX3158,Insurance
STIPEND CREDIT INTERNSHIP,Income
UPI-LIC-OKAXIS-XXXX2681,Insurance
BURGER KING ORDER PAYMENT,Food & Dining
UPI/JIO/6016629979/Payment,Utilities
SALARY INFOSYS BPM,Income
UPI-NPS-APL-XXXX4344,Investments
CULT.FIT FITNESS CLASS,Health
UPI/TUITION/2519966365/Payment,Education
ZERODHA ONLINE ORDER 984546,Investments
NEFT-HDFC-52711116,Insurance
LIFESTYLE STORE BILL,Shopping
POS 2552 1MG,Health
CLINIC BILL PAYMENT BBPS,Health
UPI-APOLLO-OKICICI-XXXX4773,Health
POS 5110 VEDANTU,Education
BONUS PAYOUT Q4,Income
CARD PURCHASE BPCL XXXX8641,Transport
RD INSTALLMENT SBI,Investments
RENTPAY ONLINE ORDER 826204,Rent
UPI-SWIGGY INSTAMART,Groceries
TATA ONLINE ORDER 808760,EMI / Loans
UPI/HDFC/3657661565/Payment,Insurance
CARD PURCHASE HALDIRAM XXXX6846,Food & Dining
COURSERA SUBSCRIPTION PAYMENT,Education
FLIPKART INTERNET ORDER,Shopping
IRCTC RAIL TICKET,Transport
NPS BILL PAYMENT BBPS,Investments
EARLYSALARY LOAN EMI,EMI / Loans
BHIM UPI TRF P2P,Transfers
UPI/UPI-AMAZON-OKAXIS/0320204179/Payment,Shopping
INCENTIVE PAYOUT SALES TEAM,Income
MPL GAMING WALLET LOAD,Entertainment
IMPS/P2A/6629912347/IKEA,Shopping
POS 5398 DENTAL,Health
CARD PURCHASE LIC XXXX9847,Insurance
PERSONAL LOAN EMI MONEYVIEW,EMI / Loans
UPI-LOAN-YAPL-XXXX1370,EMI / Loans
NACH-LIC BILL PAYMENT BBPS,Insurance
INT.PD QTR,Income
UPI-RAHUL SHARMA-OKAXIS-XXXX4521,Transfers
UPI-AIRTEL-IBL-XXXX0184,Utilities
NEFT-MCDONALD-21570433,Food & Dining
IMPS/P2A/4930853686/BLUSMART,Transport
BHARATGAS REFILL PAYMENT,Utilities
UPI-PRIYA VERMA-OKICICI SENT TO,Transfers
RAPIDO BIKE RIDE PAYMENT,Transport
UPI/ANGEL/4797480162/Payment,Investments
CHAI POINT ORDER,Food & Dining
POS 8936 MYNTRA,Shopping
NEFT-NAYARA-03717058,Transport
ADOBE CREATIVE CLOUD,Subscriptions
POS 4990 NACH-LIC,Insurance
SALARY CREDIT ZOHO CORP,Income
UPI/CANVA/6973112196/Payment,Subscriptions
UPI-IOCL-OKHDFC-XXXX4043,Transport
UPI-POLICYBAZAAR-IBL-XXXX5060,Insurance
MSEB ELECTRICITY BILL,Utilities
STAR BILL PAYMENT BBPS,Groceries
UPI/TATACLIQ/5725204565/Payment,Shopping
NACH-LIC PREMIUM-AUTODEBIT,Insurance
DREAM11 ONLINE ORDER 615347,Entertainment
CARD PURCHASE DREAM11 XXXX3552,Entertainment
CARD PURCHASE TATASKY XXXX5851,Utilities
RELIANCE BILL PAYMENT BBPS,Groceries
CARD PURCHASE EARLYSALARY XXXX0139,EMI / Loans
NOBROKER RENT PAYMENT,Rent
UPSTOX BILL PAYMENT BBPS,Investments
BOUNCE ONLINE ORDER 922220,Transport
NEFT-GAMING-69254812,Entertainment
